date,item,count,sales_cat,semester,menu_condition
24-Oct,Grilled Hamburger,107,Grill,Fall 2024,Control
24-Oct,Fried Chicken Tenders,107,Grill,Fall 2024,Control
24-Oct,Burrito Una Mano Trillium BYO,66,Grill,Fall 2024,Control
24-Oct,French Fries,132,Grill,Fall 2024,Control
24-Oct,Grilled Chicken Breast Sandwich,14,Grill,Fall 2024,Control
24-Oct,Trillium Grill Impossible Burger,9,Grill,Fall 2024,Control
24-Oct,Sweet Potato Fries,31,Grill,Fall 2024,Control
24-Oct,Seared Salmon Burger,10,Grill,Fall 2024,Control
24-Oct,Quesadilla Cheese,9,Grill,Fall 2024,Control
24-Oct,Black Bean Burger,5,Grill,Fall 2024,Control
24-Oct,ADD Beef Patty $2.99,12,Grill,Fall 2024,Control
24-Oct,ADD Chicken Breast,5,Grill,Fall 2024,Control
24-Oct,Add Sausage 2 Patty,3,Grill,Fall 2024,Control
24-Oct,Add Egg $.99,4,Grill,Fall 2024,Control
24-Oct,ADD Cheese,4,Grill,Fall 2024,Control
24-Oct,1 Entree + 1 Side,195,Asian,Fall 2024,Control
24-Oct,1 Entree + 2 Side,93,Asian,Fall 2024,Control
24-Oct,Bowl Ramen Chicken,92,Asian,Fall 2024,Control
24-Oct,2 Entrees + 2 Sides,39,Asian,Fall 2024,Control
24-Oct,Bowl Ramen Tofu,15,Asian,Fall 2024,Control
24-Oct,Side Vegetarian Lo Mein,7,Asian,Fall 2024,Control
24-Oct,1 Wok Entree,2,Asian,Fall 2024,Control
24-Oct,Side Vegetarian Fried Rice with,3,Asian,Fall 2024,Control
24-Oct,Side White or Brown Rice,5,Asian,Fall 2024,Control
24-Oct,Create Your Pasta Bowl MEAT,131,Italian,Fall 2024,Control
24-Oct,Create Your Pasta Bowl VEG,32,Italian,Fall 2024,Control
24-Oct,Pizza with Toppings,39,Italian,Fall 2024,Control
24-Oct,Pizza Cheese,32,Italian,Fall 2024,Control
24-Oct,Add Extra Meat,16,Italian,Fall 2024,Control
24-Oct,Side Bread Pasta Station,1,Italian,Fall 2024,Control
24-Oct,Burrito Breakfast,86,Breakfast,Fall 2024,Control
24-Oct,Small French Omelet,64,Breakfast,Fall 2024,Control
24-Oct,Grand Slam Breakfast,27,Breakfast,Fall 2024,Control
24-Oct,Egg Cheese Sausage Breakfast San,37,Breakfast,Fall 2024,Control
24-Oct,Egg Cheese Bacon Breakfast Sandw,32,Breakfast,Fall 2024,Control
24-Oct,Add Bacon,32,Breakfast,Fall 2024,Control
24-Oct,Two Eggs,23,Breakfast,Fall 2024,Control
24-Oct,Trillium Home Fries,4,Breakfast,Fall 2024,Control
24-Oct,2 Slices Toast,3,Breakfast,Fall 2024,Control
24-Oct,Pancake Single,1,Breakfast,Fall 2024,Control
24-Oct,Toast,3,Breakfast,Fall 2024,Control
24-Oct,PC Jelly,3,Breakfast,Fall 2024,Control
24-Oct,PC Peanut Butter,2,Breakfast,Fall 2024,Control
24-Oct,Salad by the Pound,82,Salad Bar,Fall 2024,Control
24-Oct,Add Extra Protein $2.99,1,Salad Bar,Fall 2024,Control
24-Oct,Burrito Bowl BYO,78,Mexican,Fall 2024,Control
24-Oct,Side Guacamole,4,Mexican,Fall 2024,Control
24-Oct,Single Taco,1,Mexican,Fall 2024,Control
24-Oct,Add Extra Toppings Una Mano,5,Mexican,Fall 2024,Control
24-Oct,Side Salsa,1,Mexican,Fall 2024,Control
24-Oct,Soup 12 oz,48,Soup,Fall 2024,Control
24-Oct,8 oz Soup,41,Soup,Fall 2024,Control
24-Oct,Side Potato Tots,20,Grab N Go,Fall 2024,Control
25-Oct,Quesadilla Deluxe Trillium,110,Grill,Fall 2024,Control
25-Oct,Grilled Hamburger,71,Grill,Fall 2024,Control
25-Oct,Burrito Una Mano Trillium BYO,57,Grill,Fall 2024,Control
25-Oct,Fried Chicken Tenders,59,Grill,Fall 2024,Control
25-Oct,French Fries,82,Grill,Fall 2024,Control
25-Oct,Grilled Chicken Breast Sandwich,8,Grill,Fall 2024,Control
25-Oct,Seared Salmon Burger,8,Grill,Fall 2024,Control
25-Oct,Quesadilla Cheese,8,Grill,Fall 2024,Control
25-Oct,Trillium Grill Impossible Burger,6,Grill,Fall 2024,Control
25-Oct,Black Bean Burger,4,Grill,Fall 2024,Control
25-Oct,ADD Beef Patty $2.99,4,Grill,Fall 2024,Control
25-Oct,ADD Chicken Breast,2,Grill,Fall 2024,Control
25-Oct,ADD Cheese,4,Grill,Fall 2024,Control
25-Oct,Add Egg $.99,1,Grill,Fall 2024,Control
25-Oct,1 Entree + 1 Side,105,Asian,Fall 2024,Control
25-Oct,1 Entree + 2 Side,59,Asian,Fall 2024,Control
25-Oct,Bowl Ramen Chicken,44,Asian,Fall 2024,Control
25-Oct,2 Entrees + 2 Sides,19,Asian,Fall 2024,Control
25-Oct,Bowl Ramen Tofu,9,Asian,Fall 2024,Control
25-Oct,Side Vegetarian Lo Mein,8,Asian,Fall 2024,Control
25-Oct,1 Wok Entree,4,Asian,Fall 2024,Control
25-Oct,Side Vegetarian Fried Rice with,3,Asian,Fall 2024,Control
25-Oct,Side White or Brown Rice,3,Asian,Fall 2024,Control
25-Oct,Side Vegetable Spring Rolls,1,Asian,Fall 2024,Control
25-Oct,Burrito Breakfast,80,Breakfast,Fall 2024,Control
25-Oct,Small French Omelet,51,Breakfast,Fall 2024,Control
25-Oct,Egg Cheese Sausage Breakfast San,33,Breakfast,Fall 2024,Control
25-Oct,Egg Cheese Bacon Breakfast Sandw,30,Breakfast,Fall 2024,Control
25-Oct,Grand Slam Breakfast,16,Breakfast,Fall 2024,Control
25-Oct,Add Bacon,18,Breakfast,Fall 2024,Control
25-Oct,Two Eggs,8,Breakfast,Fall 2024,Control
25-Oct,Trillium Home Fries,3,Breakfast,Fall 2024,Control
25-Oct,Pancake Single,2,Breakfast,Fall 2024,Control
25-Oct,2 Slices Toast,1,Breakfast,Fall 2024,Control
25-Oct,Create Your Pasta Bowl MEAT,80,Italian,Fall 2024,Control
25-Oct,Pizza with Toppings,24,Italian,Fall 2024,Control
25-Oct,Create Your Pasta Bowl VEG,14,Italian,Fall 2024,Control
25-Oct,Pizza Cheese,11,Italian,Fall 2024,Control
25-Oct,Add Extra Meat,12,Italian,Fall 2024,Control
25-Oct,Burrito Bowl BYO,50,Mexican,Fall 2024,Control
25-Oct,Single Taco,4,Mexican,Fall 2024,Control
25-Oct,Side Guacamole,1,Mexican,Fall 2024,Control
25-Oct,Add Extra Toppings Una Mano,1,Mexican,Fall 2024,Control
25-Oct,Salad by the Pound,39,Salad Bar,Fall 2024,Control
25-Oct,8 oz Soup,38,Soup,Fall 2024,Control
25-Oct,Soup 12 oz,25,Soup,Fall 2024,Control
