date,time,count,menu_condition
12-Feb,12:45 PM,111,Multimodal
12-Feb,1:00 PM,143,Multimodal
12-Feb,1:15 PM,141,Multimodal
12-Feb,1:30 PM,60,Multimodal
12-Feb,1:45 PM,36,Multimodal
12-Feb,2:00 PM,39,Multimodal
12-Feb,2:15 PM,68,Multimodal
12-Feb,2:30 PM,41,Multimodal
12-Feb,2:45 PM,30,Multimodal
12-Feb,3:00 PM,4,Multimodal
12-Feb,7:45 AM,3,Multimodal
12-Feb,8:00 AM,25,Multimodal
12-Feb,8:15 AM,22,Multimodal
12-Feb,8:30 AM,22,Multimodal
12-Feb,8:45 AM,27,Multimodal
12-Feb,9:00 AM,13,Multimodal
12-Feb,9:15 AM,20,Multimodal
12-Feb,9:30 AM,13,Multimodal
12-Feb,9:45 AM,48,Multimodal
13-Feb,10:00 AM,40,Multimodal
13-Feb,10:15 AM,16,Multimodal
13-Feb,10:30 AM,10,Multimodal
13-Feb,10:45 AM,13,Multimodal
13-Feb,11:00 AM,88,Multimodal
13-Feb,11:15 AM,79,Multimodal
13-Feb,11:30 AM,163,Multimodal
13-Feb,11:45 AM,125,Multimodal
13-Feb,12:00 PM,79,Multimodal
13-Feb,12:15 PM,125,Multimodal
13-Feb,12:30 PM,85,Multimodal
13-Feb,12:45 PM,116,Multimodal
13-Feb,1:00 PM,221,Multimodal
13-Feb,1:15 PM,96,Multimodal
13-Feb,1:30 PM,42,Multimodal
13-Feb,1:45 PM,32,Multimodal
13-Feb,2:00 PM,18,Multimodal
13-Feb,2:15 PM,36,Multimodal
13-Feb,2:30 PM,33,Multimodal
13-Feb,2:45 PM,47,Multimodal
13-Feb,3:00 PM,3,Multimodal
13-Feb,8:00 AM,8,Multimodal
13-Feb,8:15 AM,14,Multimodal
13-Feb,8:30 AM,30,Multimodal
13-Feb,8:45 AM,27,Multimodal
13-Feb,9:00 AM,27,Multimodal
13-Feb,9:15 AM,24,Multimodal
13-Feb,9:30 AM,24,Multimodal
13-Feb,9:45 AM,34,Multimodal
14-Feb,10:00 AM,33,Multimodal
14-Feb,10:15 AM,16,Multimodal
14-Feb,10:30 AM,4,Multimodal
14-Feb,10:45 AM,18,Multimodal
14-Feb,11:00 AM,83,Multimodal
14-Feb,11:15 AM,72,Multimodal
14-Feb,11:30 AM,40,Multimodal
14-Feb,11:45 AM,52,Multimodal
14-Feb,12:00 PM,84,Multimodal
14-Feb,12:15 PM,107,Multimodal
14-Feb,12:30 PM,52,Multimodal
14-Feb,12:45 PM,53,Multimodal
14-Feb,1:00 PM,34,Multimodal
14-Feb,1:15 PM,76,Multimodal
14-Feb,1:30 PM,29,Multimodal
14-Feb,1:45 PM,22,Multimodal
14-Feb,2:00 PM,5,Multimodal
14-Feb,8:00 AM,12,Multimodal
14-Feb,8:15 AM,12,Multimodal
14-Feb,8:30 AM,17,Multimodal
14-Feb,8:45 AM,14,Multimodal
14-Feb,9:00 AM,27,Multimodal
14-Feb,9:15 AM,9,Multimodal
14-Feb,9:30 AM,7,Multimodal
14-Feb,9:45 AM,13,Multimodal
19-Feb,10:00 AM,47,Multimodal
19-Feb,10:15 AM,30,Multimodal
19-Feb,10:30 AM,10,Multimodal
19-Feb,10:45 AM,14,Multimodal
19-Feb,11:00 AM,123,Multimodal
19-Feb,11:15 AM,91,Multimodal
19-Feb,11:30 AM,110,Multimodal
19-Feb,11:45 AM,88,Multimodal
19-Feb,12:00 PM,97,Multimodal
19-Feb,12:15 PM,164,Multimodal
19-Feb,12:30 PM,83,Multimodal
19-Feb,12:45 PM,93,Multimodal
19-Feb,1:00 PM,159,Multimodal
19-Feb,1:15 PM,122,Multimodal
19-Feb,1:30 PM,55,Multimodal
19-Feb,1:45 PM,33,Multimodal
19-Feb,2:00 PM,25,Multimodal
19-Feb,2:15 PM,71,Multimodal
19-Feb,2:30 PM,40,Multimodal
19-Feb,2:45 PM,47,Multimodal
19-Feb,3:00 PM,5,Multimodal
19-Feb,8:00 AM,16,Multimodal
19-Feb,8:15 AM,26,Multimodal
19-Feb,8:30 AM,17,Multimodal
19-Feb,8:45 AM,20,Multimodal
19-Feb,9:00 AM,15,Multimodal
19-Feb,9:15 AM,18,Multimodal
19-Feb,9:30 AM,26,Multimodal
19-Feb,9:45 AM,22,Multimodal
20-Feb,10:00 AM,51,Multimodal
20-Feb,10:15 AM,24,Multimodal
20-Feb,10:30 AM,14,Multimodal
20-Feb,10:45 AM,13,Multimodal
20-Feb,11:00 AM,81,Multimodal
20-Feb,11:15 AM,60,Multimodal
20-Feb,11:30 AM,159,Multimodal
20-Feb,11:45 AM,109,Multimodal
20-Feb,12:00 PM,91,Multimodal
20-Feb,12:15 PM,89,Multimodal
20-Feb,12:30 PM,71,Multimodal
20-Feb,12:45 PM,87,Multimodal
20-Feb,1:00 PM,199,Multimodal
20-Feb,1:15 PM,143,Multimodal
20-Feb,1:30 PM,54,Multimodal
20-Feb,1:45 PM,38,Multimodal
20-Feb,2:00 PM,35,Multimodal
20-Feb,2:15 PM,37,Multimodal
